Category,Sl_No,Name,District,Zone,Division,Area_ha,Notification_Details,Geological_Location,Type_of_Lake,Size,History
Park,512,Central Park west park,,15,197,,,,,,
Park,513,Kumarasamy nagar park,,15,197,,,,,,
Park,514,VGP South Zone Part IV,,15,198,,,,,,
Park,515,Tamil Nadu Housing Board E12 Block,,15,198,,,,,,
Park,516,VGP 2nd main road park,,15,199,,,,,,
Park,517,TNSCB Chemmenchery 2nd main road,,15,200,,,,,,
Park,518,TNSCB Chemmenchery 33rd Cross Street,,15,200,,,,,,
Park,519,TNSCB Chemmenchery 1st Main Road,,15,200,,,,,,
Park,520,Workers Estate,,15,192,,,,,,
Park,521,VGP layout 2nd street,,15,196,,,,,,
Park,522,Elcot Road park,,15,197,,,,,,
Park,523,Ananth Nagar,,15,193,,,,,,
Park,524,Kannagi Nagar 9th Main Road,,15,195,,,,,,
Park,525,Neduncheyan street park,,15,197,,,,,,
